nohup: ignoring input
part 795: 64421 rows
part 796: 64607 rows
part 797: 64397 rows
part 798: 64239 rows
part 799: 64808 rows
part 800: 64642 rows
part 801: 64511 rows
part 802: 64774 rows
part 803: 64398 rows
part 804: 64692 rows
part 805: 64171 rows
part 806: 64437 rows
part 807: 65038 rows
part 808: 64361 rows
part 809: 64839 rows
part 810: 64626 rows
part 811: 64251 rows
part 812: 64923 rows
part 813: 64270 rows
part 814: 64278 rows
part 815: 64286 rows
part 816: 64267 rows
part 817: 64519 rows
part 818: 64526 rows
part 819: 64328 rows
part 820: 64896 rows
part 821: 64196 rows
part 822: 64591 rows
part 823: 64273 rows
part 824: 64353 rows
part 825: 64284 rows
part 826: 64872 rows
part 827: 64849 rows
part 828: 64242 rows
part 829: 64551 rows
part 830: 64750 rows
part 831: 65410 rows
part 832: 64984 rows
part 833: 64302 rows
part 834: 64272 rows
part 835: 64559 rows
part 836: 64078 rows
part 837: 64684 rows
part 838: 64544 rows
part 839: 64011 rows
part 840: 64691 rows
part 841: 64643 rows
part 842: 64424 rows
part 843: 64777 rows
part 844: 64077 rows
part 845: 64612 rows
part 846: 64087 rows
part 847: 64256 rows
part 848: 64113 rows
part 849: 64843 rows
part 850: 64575 rows
part 851: 64809 rows
part 852: 64462 rows
part 853: 64644 rows
part 854: 64353 rows
part 855: 64177 rows
part 856: 64691 rows
part 857: 64793 rows
part 858: 64391 rows
part 859: 64149 rows
part 860: 64451 rows
part 861: 64789 rows
part 862: 64085 rows
part 863: 64672 rows
part 864: 64324 rows
part 865: 64896 rows
part 866: 64273 rows
part 867: 64389 rows
part 868: 64331 rows
part 869: 64902 rows
part 870: 64619 rows
part 871: 64196 rows
part 872: 64404 rows
part 873: 64712 rows
part 874: 64438 rows
part 875: 64682 rows
part 876: 64953 rows
part 877: 64541 rows
part 878: 64222 rows
part 879: 64601 rows
part 880: 64783 rows
part 881: 64451 rows
part 882: 64391 rows
part 883: 65023 rows
part 884: 64709 rows
part 885: 64584 rows
part 886: 64566 rows
part 887: 63980 rows
part 888: 64637 rows
part 889: 64919 rows
part 890: 64314 rows
part 891: 64428 rows
part 892: 64373 rows
part 893: 64769 rows
part 894: 64466 rows
part 895: 64112 rows
part 896: 64492 rows
part 897: 64753 rows
part 898: 64703 rows
part 899: 64186 rows
part 900: 64803 rows
part 901: 64980 rows
part 902: 64561 rows
part 903: 64631 rows
part 904: 64771 rows
part 905: 64322 rows
part 906: 64338 rows
part 907: 64657 rows
part 908: 64745 rows
part 909: 64369 rows
part 910: 64924 rows
part 911: 64462 rows
part 912: 64237 rows
part 913: 64203 rows
part 914: 64746 rows
part 915: 64919 rows
part 916: 64448 rows
part 917: 64557 rows
part 918: 64457 rows
part 919: 63996 rows
part 920: 64448 rows
part 921: 64013 rows
part 922: 64334 rows
part 923: 64616 rows
part 924: 64654 rows
part 925: 64742 rows
part 926: 64663 rows
part 927: 64776 rows
part 928: 64475 rows
part 929: 64918 rows
part 930: 64459 rows
part 931: 64218 rows
part 932: 65045 rows
part 933: 64681 rows
part 934: 64432 rows
part 935: 64042 rows
part 936: 64272 rows
part 937: 64516 rows
part 938: 64685 rows
part 939: 64232 rows
part 940: 64657 rows
part 941: 64652 rows
part 942: 64944 rows
part 943: 65085 rows
part 944: 64458 rows
part 945: 64335 rows
part 946: 64484 rows
part 947: 64477 rows
part 948: 64446 rows
part 949: 64333 rows
part 950: 63867 rows
part 951: 64530 rows
part 952: 64352 rows
part 953: 64536 rows
part 954: 65099 rows
part 955: 64450 rows
part 956: 64697 rows
part 957: 65177 rows
part 958: 64178 rows
part 959: 64769 rows
part 960: 64511 rows
part 961: 64383 rows
part 962: 64960 rows
part 963: 64744 rows
part 964: 64758 rows
part 965: 64056 rows
part 966: 64459 rows
part 967: 64572 rows
part 968: 64627 rows
part 969: 64774 rows
part 970: 64690 rows
part 971: 64882 rows
part 972: 64862 rows
part 973: 64457 rows
part 974: 64746 rows
part 975: 64734 rows
part 976: 64433 rows
part 977: 64257 rows
part 978: 64744 rows
part 979: 64802 rows
part 980: 64845 rows
part 981: 64350 rows
part 982: 64625 rows
part 983: 64719 rows
part 984: 64484 rows
part 985: 64123 rows
part 986: 64221 rows
part 987: 64485 rows
part 988: 64478 rows
part 989: 64456 rows
part 990: 64273 rows
part 991: 64670 rows
part 992: 64510 rows
part 993: 64360 rows
part 994: 64901 rows
part 995: 64952 rows
part 996: 64863 rows
part 997: 64616 rows
part 998: 64399 rows
part 999: 64337 rows
part 1000: 64564 rows
part 1001: 64732 rows
part 1002: 64225 rows
part 1003: 64441 rows
part 1004: 64670 rows
part 1005: 64736 rows
part 1006: 64197 rows
part 1007: 64929 rows
part 1008: 64040 rows
part 1009: 64331 rows
part 1010: 64476 rows
part 1011: 65074 rows
part 1012: 64601 rows
part 1013: 64430 rows
part 1014: 64314 rows
part 1015: 64919 rows
part 1016: 64465 rows
part 1017: 64212 rows
part 1018: 64453 rows
part 1019: 64221 rows
part 1020: 64564 rows
part 1021: 64798 rows
part 1022: 64717 rows
part 1023: 64211 rows
part 1024: 64608 rows
part 1025: 64459 rows
part 1026: 64669 rows
part 1027: 64403 rows
part 1028: 64238 rows
part 1029: 64517 rows
part 1030: 64391 rows
part 1031: 64696 rows
part 1032: 64403 rows
part 1033: 64373 rows
part 1034: 64818 rows
